"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 18 08:54:54 GMT 2023","Mon Sep 18 08:55:26 GMT 2023","31745","","AppTest","","AppTest","validateStatusBanner","Validate starting status Banner",""
"broken","Mon Sep 18 08:55:51 GMT 2023","Mon Sep 18 08:56:26 GMT 2023","34839","","AppTest","","AppTest","changeStatusBanner","Validate change of banner status",""
"passed","Mon Sep 18 08:55:26 GMT 2023","Mon Sep 18 08:55:51 GMT 2023","25258","","AppTest","","AppTest","validateStatusInterstitial","Validate starting status Interstitial",""
"failed","Mon Sep 18 08:56:26 GMT 2023","Mon Sep 18 08:57:00 GMT 2023","33219","","AppTest","","AppTest","changeStatusInterstitial","Validate change of interstitial status",""
