"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 17 19:35:07 GMT 2023","Sun Sep 17 19:35:08 GMT 2023","729","","AppTest","","AppTest","validateStatusInterstitial","Validate starting status Interstitial",""
"broken","Sun Sep 17 19:35:09 GMT 2023","Sun Sep 17 19:35:10 GMT 2023","685","","AppTest","","AppTest","changeStatusInterstitial","Validate change of interstitial status",""
"broken","Sun Sep 17 19:35:08 GMT 2023","Sun Sep 17 19:35:09 GMT 2023","589","","AppTest","","AppTest","changeStatusBanner","Validate change of banner status",""
"broken","Sun Sep 17 19:35:03 GMT 2023","Sun Sep 17 19:35:07 GMT 2023","3895","","AppTest","","AppTest","validateStatusBanner","Validate starting status Banner",""
