"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Sep 20 09:15:47 GMT 2023","Wed Sep 20 09:15:47 GMT 2023","0","","AppTest","","AppTest","changeStatusInterstitial","Validate change of interstitial status",""
"skipped","Wed Sep 20 09:15:47 GMT 2023","Wed Sep 20 09:15:47 GMT 2023","0","","AppTest","","AppTest","changeStatusBanner","Validate change of banner status",""
"passed","Wed Sep 20 09:15:18 GMT 2023","Wed Sep 20 09:15:47 GMT 2023","29034","","AppTest","","AppTest","validateStatusInterstitial","Validate starting status Interstitial",""
"passed","Wed Sep 20 09:14:45 GMT 2023","Wed Sep 20 09:15:18 GMT 2023","33460","","AppTest","","AppTest","validateStatusBanner","Validate starting status Banner",""
