"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 18 15:31:58 GMT 2023","Mon Sep 18 15:31:58 GMT 2023","0","","AppTest","","AppTest","changeStatusInterstitial","Validate change of interstitial status",""
"skipped","Mon Sep 18 15:31:58 GMT 2023","Mon Sep 18 15:31:58 GMT 2023","0","","AppTest","","AppTest","changeStatusBanner","Validate change of banner status",""
"passed","Mon Sep 18 15:31:02 GMT 2023","Mon Sep 18 15:31:34 GMT 2023","32174","","AppTest","","AppTest","validateStatusBanner","Validate starting status Banner",""
"passed","Mon Sep 18 15:31:34 GMT 2023","Mon Sep 18 15:31:58 GMT 2023","24424","","AppTest","","AppTest","validateStatusInterstitial","Validate starting status Interstitial",""
