"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Sep 20 09:15:41 GMT 2023","Wed Sep 20 09:15:41 GMT 2023","1","","AppTest","","AppTest","changeStatusBanner","Validate change of banner status",""
"passed","Wed Sep 20 09:14:37 GMT 2023","Wed Sep 20 09:15:10 GMT 2023","33587","","AppTest","","AppTest","validateStatusBanner","Validate starting status Banner",""
"skipped","Wed Sep 20 09:15:41 GMT 2023","Wed Sep 20 09:15:41 GMT 2023","0","","AppTest","","AppTest","changeStatusInterstitial","Validate change of interstitial status",""
"passed","Wed Sep 20 09:15:11 GMT 2023","Wed Sep 20 09:15:41 GMT 2023","30680","","AppTest","","AppTest","validateStatusInterstitial","Validate starting status Interstitial",""
