"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 17 19:34:39 GMT 2023","Sun Sep 17 19:34:42 GMT 2023","3359","","AppTest","","AppTest","validateStatusBanner","Validate starting status Banner",""
"broken","Sun Sep 17 19:34:43 GMT 2023","Sun Sep 17 19:34:44 GMT 2023","492","","AppTest","","AppTest","changeStatusInterstitial","Validate change of interstitial status",""
"broken","Sun Sep 17 19:34:42 GMT 2023","Sun Sep 17 19:34:43 GMT 2023","636","","AppTest","","AppTest","validateStatusInterstitial","Validate starting status Interstitial",""
"broken","Sun Sep 17 19:34:43 GMT 2023","Sun Sep 17 19:34:43 GMT 2023","595","","AppTest","","AppTest","changeStatusBanner","Validate change of banner status",""
