"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 18 08:22:53 GMT 2023","Mon Sep 18 08:23:30 GMT 2023","37213","","AppTest","","AppTest","changeStatusInterstitial","Validate change of interstitial status",""
"passed","Mon Sep 18 08:21:49 GMT 2023","Mon Sep 18 08:22:18 GMT 2023","28747","","AppTest","","AppTest","validateStatusInterstitial","Validate starting status Interstitial",""
"passed","Mon Sep 18 08:21:20 GMT 2023","Mon Sep 18 08:21:49 GMT 2023","29010","","AppTest","","AppTest","validateStatusBanner","Validate starting status Banner",""
"broken","Mon Sep 18 08:22:18 GMT 2023","Mon Sep 18 08:22:53 GMT 2023","34792","","AppTest","","AppTest","changeStatusBanner","Validate change of banner status",""
